,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Nagroda Księżnej Asturii,Nagroda Księżnej Asturii,"['Nagroda Księcia Asturii', 'Premio Príncipe de Asturias', 'Premios Princesa de Asturias', 'Premios Príncipe de Asturias', 'Princess of Asturias Awards']","['Nagrody kulturalne', 'Nagrody literackie', 'Nagrody naukowe']",['9810538910205606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Natchnienie,Natchnienie,['Inspiration'],"['Twórczość', 'Sztuka']",['9810627733605606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q109282793,Натхнення,Yvonne,L'Inspiratrice,Inspiration,Natchnienie,Q109282793,sh85066719,9316,,,,,,,,
Miejsca autobiograficzne,Miejsca autobiograficzne,['Miejsce autobiograficzne'],"['Formy autobiograficzne', 'Geopoetyka', 'Pamięć autobiograficzna', 'Teoria literatury', 'Tożsamość osobista']",['9810534986205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze awarscy,Pisarze awarscy,['Awarscy pisarze'],,['9810556675905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci awarscy'],,,,,,
Poeci awarscy,Poeci awarscy,"['Awarscy poeci', 'Avar poets', 'Poets, Avar']",,['9810556676005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze awarscy'],,,,,,,
Pisarze anglojęzyczni,Pisarze anglojęzyczni,,,['9810556627605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze Dagestanu,Pisarze Dagestanu,,,['9810556627705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze francuskojęzyczni,Pisarze francuskojęzyczni,,,['9810556627805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze regionu karaibskiego,Pisarze regionu karaibskiego,,,['9810556627905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze słowiańscy,Pisarze słowiańscy,,,['9810556628005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Pisarze południowosłowiańscy', 'Pisarze wschodniosłowiańscy', 'Pisarze zachodniosłowiańscy']",,,,,,
Pisarze zachodniosłowiańscy,Pisarze zachodniosłowiańscy,,,['9810556628105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze słowiańscy'],,,,,,,
Pisarze wschodniosłowiańscy,Pisarze wschodniosłowiańscy,,,['9810556628205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze słowiańscy'],,,,,,,
Pisarze południowosłowiańscy,Pisarze południowosłowiańscy,,,['9810556628305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze słowiańscy'],,,,,,,
Przekłady norweskie,Przekłady norweskie,,,['9810692986905606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język norweski'],,,,,,,
Przekłady indonezyjskie,Przekłady indonezyjskie,,,['9810689401305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język indonezyjski'],,,,,,,
Monolog wewnętrzny,Monolog wewnętrzny,"['Interior monologue', 'Innerer Monolog', 'Monologue intérieur', 'Wewnętrzny monolog']",,['9810702346805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q466163,Внутрішнє мовлення,innerer Monolog,monologue intérieur,interior monologue,monolog wewnętrzny,Q466163,sh89002731,,"['Narracja', 'Monolog wypowiedziany', 'Strumień świadomości']",,,,,,,
Podwójni agenci,Podwójni agenci,['Podwójny agent'],"['Szpiegostwo', 'Wywiad']",['9810623297405606'],Bezpieczeństwo i wojskowość Kultura i sztuka Literaturoznawstwo,"['Bezpiecze', 'Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Przekłady malajskie,Przekłady malajskie,,,['9810550134705606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język malajski'],,,,,,,
Przekłady starosyryjskie,Przekłady starosyryjskie,,,['9810550136105606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Lęk przed wpływem (teoria),Lęk przed wpływem (teoria),"['Anxiety of influence (theory)', 'Teoria lęku przed wpływem', 'Theory of anxiety of influence']","['Intertekstualność', 'Krytyka literacka', 'Teoria literatury', 'Tradycja literacka', 'Wpływ i recepcja']",['9810535383305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Przekłady suahili,Przekłady suahili,,['Język suahili'],['9810535380905606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Nagroda im. Akutagawy,Nagroda im. Akutagawy,"['Nagroda imienia Akutagawy', 'Nagroda Akutagawy', 'Akutagawa Ryūnosuke Shō', '芥川龍之介賞']",,['9810678435405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q424160,Премія Акутагави,Akutagawa-Preis,prix Akutagawa,Akutagawa Prize,Nagroda im. Akutagawy,Q424160,,,['Nagrody literackie'],,,,,,,
Poeci krymskotatarscy,Poeci krymskotatarscy,"['Crimean Tatar poets', 'Poets, Crimean Tatar']",,['9810595797605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze krymskotatarscy'],,,,,,,
Pisarze krymskotatarscy,Pisarze krymskotatarscy,,,['9810595797705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Poeci krymskotatarscy'],,,,,,,
Przekłady gockie,Przekłady gockie,,,['9810685618605606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język gocki'],,,,,,,
Przekłady kreolskie i pidgin,Przekłady kreolskie i pidgin,['Przekłady pidgin'],,['9810685620205606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Języki kreolskie i pidgin'],,,,,,,
Uniwersum Metro 2033 (świat fikcyjny),Uniwersum Metro 2033 (świat fikcyjny),['Metro 2033 (świat fikcyjny)'],,['9810685493505606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Krainy i światy fikcyjne'],,,,,,,
Nowa Fala (literatura),Nowa Fala (literatura),"['Nowa Fala w literaturze', 'Nowa Fala (poezja)', 'Pokolenie 68 (literatura)']",,['9810669197505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Prądy i kierunki literackie'],,,,,,,
Literatura mniejsza,Literatura mniejsza,"['Minor literature', 'Littérature mineure']","['Krytyka literacka', 'Teoria literatury']",['9810669198305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Nagroda Artystyczna im. Jana Pocka,Nagroda Artystyczna im. Jana Pocka,,,['9810669038105606'],Literaturoznawstwo Kultura i sztuka Etnologia i antropologia kulturowa,"['Literaturoznawstwo', 'Kultura i sztuka', 'Etnologia i antropologia kulturowa']",Literaturoznawstwo,,,,,,,,,,['Nagrody kulturalne'],,,,,,,
Krytyka postkolonialna,Krytyka postkolonialna,"['Postcolonial literary criticism', 'Postcolonial literary study', 'Postcolonial literary theory', 'Postkolonialna krytyka', 'Postkolonializm w badaniach literackich', 'Postkolonializm (teoria literatury)', 'Postzależnościowa krytyka', 'Krytyka postzależnościowa', 'Studia postzależnościowe']",,['9810665635005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Teoria literatury', 'Postkolonializm']",,,,,,,
Krytyka archetypowa,Krytyka archetypowa,"['Archetypowa krytyka', 'Krytyka mitograficzna', 'Archetypal criticism', 'Archetypal literary criticism', ""Critique d'archétypes""]",,['9810665636205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Teoria literatury', 'Archetyp (psychologia)']",,,,,,,
Queer theory,Queer theory,"['Teoria queer', 'Queer studies', 'Queer criticism', 'Krytyka queerowa']","['Antropologia społeczna', 'Gender', 'Gender bending', 'Intersekcjonalność', 'Krytyka literacka', 'Mniejszości seksualne', 'Queerbaiting', 'Teologia queer', 'Teoria literatury']",['9810626039905606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q658022,квір-теорія,Queer-Theorie,théorie queer,queer theory,queer theory,Q658022,sh2006001835,,,,,,,,,
Widmontologia,Widmontologia,"['Duchologia', 'Hantologie', 'Hauntology', 'Widmologia']","['Dekonstrukcja (filozofia)', 'Historiozofia', 'Ontologia', 'Teoria literatury', 'Teoria sztuki', 'Vaporwave (subkultura)']",['9810586678205606'],Filozofia i etyka Literaturoznawstwo,"['Filozofia i etyka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Aksjologia literacka,Aksjologia literacka,"['Aksjologia a literatura', 'Aksjologia (literatura)', 'Wartościowanie w literaturze', 'Axiology in literature']",,['9810622799405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Aksjologia', 'Literaturoznawstwo']",,,,,,,
Mały realizm,Mały realizm,,,['9810622799605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q11772617,,,,,Mały realizm,Q11772617,,,['Realizm'],,,,,,,
Organizacje literackie,Organizacje literackie,"['Organizacja literacka', 'Stowarzyszenia literackie', 'Towarzystwa literackie']",,['9810693718105606'],Kultura i sztuka Literaturoznawstwo Socjologia i społeczeństwo,"['Kultura i sztuka', 'Literaturoznawstwo', 'Socjologia i spo']",Literaturoznawstwo,,,,,,,,,,"['Organizacje', 'Grupy literackie', 'Kultura', 'Organizacje kulturalne', 'Pisarze', 'Salon literacko-artystyczny']",,,,,,,
Genologia,Genologia,,,['9810586685505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q3508604,генологія,Genreforschung,génologie,genology,genologia,Q3508604,,,"['Poetyka', 'Gatunki medialne', 'Gatunki mowy', 'Rodzaje i gatunki literackie']",,,,,,,
Zabytki piśmiennictwa,Zabytki piśmiennictwa,,,['9810587199905606'],Literaturoznawstwo Językoznawstwo,"['Literaturoznawstwo', 'J']",Literaturoznawstwo,,,,,,,,,,"['Zabytki kultury', 'Archeografia', 'Lista Światowego Dziedzictwa UNESCO', 'Pismo']","['Hellenica Oxyrhynchia', 'Chroniques de Hainaut', 'Germanov sbornik', 'Kodeks benedyktyński klasztoru świętokrzyskiego', 'Kodeks z Exeter', 'Kopiarz sulejowski', 'Papirus z Derveni', 'Synodyk wojnowski']",,,,,,
Krytyka somatyczna,Krytyka somatyczna,['Somatokrytyka'],,['9810658345705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Teoria literatury', 'Antropologia filozoficzna', 'Antropologia społeczna', 'Ciało ludzkie']",,,,,,,
"Nagroda Literacka dla Autorki ""Gryfia""","Nagroda Literacka dla Autorki ""Gryfia""","['Gryfia (nagroda literacka)', 'Nagroda literacka Gryfia', 'Gryfia - Ogólnopolska Nagroda Literacka dla Autorki', 'Ogólnopolska Nagroda Literacka dla Autorki ""Gryfia""', 'Nagroda Literacka dla Autorki', 'Gryfia - Nagroda Literacka dla Autorki']",,['9810682851905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Poeci karaimscy,Poeci karaimscy,"['Karaim poets', 'Poets, Karaim']",,['9810533501205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze karaimscy'],,,,,,,
Nie-miejsca,Nie-miejsca,"['Nie-miejsce', 'Non-place', 'Non-lieu', 'Nonplace']","['Antropologia społeczna', 'Krytyka literacka', 'Przestrzeń', 'Teoria literatury']",['9810636129005606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q585407,,Nicht-Ort,Non-lieu,Non-Place,Nie-miejsca,Q585407,,,,,,,,,,
Rodziny fikcyjne,Rodziny fikcyjne,,,['9810536409905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Postacie fikcyjne', 'Postać filmowa', 'Postać literacka']",,,,,,,
Pisarze filipińscy,Pisarze filipińscy,"['Filipińscy pisarze', 'Authors, Philippinean']",,['9810656516205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Poeci brazylijscy,Poeci brazylijscy,"['Brazilian poets', 'Poets, Brazilian']",,['9810656517005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze brazylijscy'],,,,,,,
Odbiór dzieła literackiego,Odbiór dzieła literackiego,"['Teoria odbioru dzieła literackiego', 'Odbiorca dzieła literackiego', 'Odbiorca wirtualny dzieła literackiego', 'Wirtualny odbiorca dzieła literackiego', 'Reception of the literary work', ""Réception de l'oeuvre littéraire"", 'Rezeption des literarischen Werkes', 'Fictive reader', 'Lectur implicite', 'Empfänger des literarischen Werkes']","['Immersja (estetyka)', 'Komunikacja literacka', 'Konkretyzacja dzieła literackiego', 'Teoria literatury', 'Wpływ i recepcja']",['9810689652505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Excalibur (miecz),Excalibur (miecz),"['Ekskalibur', 'Caledfwlch']",,['9810565871705606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Małżeństwo dla pieniędzy,Małżeństwo dla pieniędzy,"['Marry for money', 'Marry money']",,['9810547486705606'],Literaturoznawstwo Socjologia i społeczeństwo,"['Literaturoznawstwo', 'Socjologia i spo']",Literaturoznawstwo,,,,,,,,,,"['Małżeństwo', 'Mezalians', 'Pieniądz']",,,,,,,
Nagroda Literacka im. Juliana Tuwima,Nagroda Literacka im. Juliana Tuwima,"['Nagroda im. Juliana Tuwima', 'Nagroda imienia Juliana Tuwima', 'Łódzka Nagroda im. Juliana Tuwima', 'Nagroda Juliana Tuwima']",,['9810559683005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q18649948,,Julian-Tuwin-Preis,prix littéraire Julian-Tuwim,The Julian Tuwim Literary Award,Nagroda Literacka im. Juliana Tuwima,Q18649948,,,['Nagrody literackie'],,,,,,,
Poeci arabscy,Poeci arabscy,"['Arab poets', 'Poets, Arab']",,['9810546313505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze arabscy'],['Poeci iraccy'],,,,,,
Poeci iraccy,Poeci iraccy,"['Iraqi poets', 'Poets, Iraqi']",,['9810546314705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze iraccy'],,,,,,,
Pisarze iraccy,Pisarze iraccy,"['Authors, Iraqi']",,['9810546314905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze arabscy'],['Poeci iraccy'],,,,,,
Prozopopeja,Prozopopeja,"['Prosopopoeia', 'Prosopopée', 'Prosopopöie', 'Fictio personae']",,['9810623508205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q13409844,,Prosopopöie,Prosopopée,prosopopoeia,Prozopopeja,Q13409844,,,"['Figury retoryczne', 'Stylistyka']",,,,,,,
Przekłady bośniackie,Przekłady bośniackie,,,['9810660960305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język bośniacki'],,,,,,,
Filozofia genezyjska,Filozofia genezyjska,['Genezyjska filozofia'],,['9810689201705606'],Filozofia i etyka Literaturoznawstwo,"['Filozofia i etyka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q9259827,,,,,Filozofia genezyjska,Q9259827,,,"['Filozofia romantyzmu', 'Historiozofia', 'Romantyzm']",,,,,,,
Hypotypoza,Hypotypoza,"['Hypotyposis', 'Hypotypose', 'Ipotiposi']",,['9810553803205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q1200750,опис,Beschreibung,description,description,opisanie,Q1200750,,334,"['Figury retoryczne', 'Stylistyka']",,,,,,,
Program literacki,Program literacki,"['Literary program', 'Programme littéraire', 'Literarisches Programm']","['Grupy literackie', 'Pisarze', 'Pokolenie literackie', 'Program ideowy', 'Życie literackie']",['9810553813805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q11827551,,,,,Program literacki,Q11827551,,,,,,,,,,
Gobliny (stworzenia fantastyczne),Gobliny (stworzenia fantastyczne),"['Goblin (stworzenie fantastyczne)', 'Gobelin (stworzenie fantastyczne)', 'Gobeliny (stworzenia fantastyczne)']",,['9810664355705606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Stworzenia fantastyczne'],,,,,,,
Retoryczność,Retoryczność,,"['Figury retoryczne', 'Filozofia języka', 'Retoryka', 'Teoria literatury']",['9810568762905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Planeta Eden (miejsce fikcyjne),Planeta Eden (miejsce fikcyjne),['Eden (miejsce fikcyjne)'],,['9810552866505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Krainy i światy fikcyjne'],,,,,,,
Ekonomia literatury,Ekonomia literatury,['Economic criticism'],,['9810693829205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Teoria literatury', 'Ekonomia']",,,,,,,
Przemijanie,Przemijanie,"['Doświadczenie przemijania', 'Doświadczenie przemijalności', 'Przemijalność', 'Motyw przemijania']","['Antropologia filozoficzna', 'Czas', 'Melancholia', 'Śmierć', 'Vanitas']",['9810617380305606'],Filozofia i etyka Literaturoznawstwo Psychologia,"['Filozofia i etyka', 'Literaturoznawstwo', 'Psychologia']",Literaturoznawstwo,http://www.wikidata.org/entity/Q19269416,,,,,Przemijanie,Q19269416,,,,,,,,,,
Heterotopie,Heterotopie,['Heterotopia'],"['Antropologia społeczna', 'Krytyka literacka', 'Przestrzeń', 'Sfera publiczna', 'Teoria literatury', 'Utopia']",['9810599444305606'],Etnologia i antropologia kulturowa Filozofia i etyka Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Filozofia i etyka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1616232,,Heterotopie,Heterotopie,Heterotopie,Heterotopie,Q1616232,,,,,,,,,,
Pisarze tajwańscy,Pisarze tajwańscy,,,['9810550825705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Nagroda im. Ferdynanda Wańka,Nagroda im. Ferdynanda Wańka,"['Nagroda Ferdynanda Wańka', 'Wańka Ferdynanda, nagroda', 'Ferdynanda Wańka, nagroda', 'Nagroda Literacka im. Ferdynanda Wańka', 'Nagroda Ferdinanda Vaňka', 'Cena Ferdinanda Vaňka', 'Ferdinand Vanek Award']",,['9810623404805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Pisarze wilamowscy,Pisarze wilamowscy,['Pisarze wilamowiccy'],,['9810608680205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Przekłady galicyjskie,Przekłady galicyjskie,,,['9810631334805606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język galicyjski'],,,,,,,
Emfaza,Emfaza,"['Emphasis', 'Emphase']",,['9810683496505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q9253425,Емфаза,Emphase,Emphase,Emphasis,Emfaza,Q9253425,,,"['Figury retoryczne', 'Amplificatio', 'Stylistyka']",,,,,,,
Pisarze izraelscy,Pisarze izraelscy,"['Izraelscy pisarze', 'Israeli authors', 'Israeli writers']",['Pisarze żydowscy'],['9810691565105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
"Nagroda Poetycka ""Orfeusz""","Nagroda Poetycka ""Orfeusz""","['Nagroda Poetycka im. Konstantego Ildefonsa Gałczyńskiego ""Orfeusz""', 'Nagroda Poetycka im. Konstantego Ildefonsa Gałczyńskiego za najlepszy tom roku ""Orfeusz""', 'Nagroda ""Orfeusz""', 'Nagroda Literacka ""Orfeusz""', '""Orfeusz"", Nagroda Poetycka', 'Orfeusz – Nagroda Poetycka im. Konstantego Ildefonsa Gałczyńskiego']",,['9810534095705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
